[2017-01-28 01:56:02.484] [INFO] asan - { uv: 0, temp: 684, gas: 317.5, gps: [] }
[2017-01-28 01:56:05.486] [INFO] asan - { uv: 0, temp: 683, gas: 321, gps: [] }
[2017-01-28 01:56:08.488] [INFO] asan - { uv: 0.5, temp: 685, gas: 321, gps: [] }
[2017-01-28 01:56:11.489] [INFO] asan - { uv: 0.5, temp: 682, gas: 319, gps: [] }
[2017-01-28 01:56:14.500] [INFO] asan - { uv: 0.5, temp: 683, gas: 321.5, gps: [] }
[2017-01-28 01:56:17.506] [INFO] asan - { uv: 0, temp: 683, gas: 321, gps: [] }
[2017-01-28 01:56:20.511] [INFO] asan - { uv: 0, temp: 682, gas: 322, gps: [] }
[2017-01-28 01:56:23.516] [INFO] asan - { uv: 1, temp: 681.5, gas: 317, gps: [] }
[2017-01-28 01:56:26.517] [INFO] asan - { uv: 0, temp: 681, gas: 315, gps: [] }
[2017-01-28 01:56:29.519] [INFO] asan - { uv: 1, temp: 681.5, gas: 314, gps: [] }
[2017-01-28 01:56:32.520] [INFO] asan - { uv: 0.5, temp: 682, gas: 314.5, gps: [] }
[2017-01-28 01:56:35.523] [INFO] asan - { uv: 0.5, temp: 680, gas: 318, gps: [] }
[2017-01-28 01:56:38.525] [INFO] asan - { uv: 0.5, temp: 680, gas: 316, gps: [] }
[2017-01-28 01:56:41.527] [INFO] asan - { uv: 0.5, temp: 680, gas: 316, gps: [] }
[2017-01-28 01:56:44.529] [INFO] asan - { uv: 0.5, temp: 680, gas: 326, gps: [] }
[2017-01-28 01:56:47.532] [INFO] asan - { uv: 0.5, temp: 681, gas: 326, gps: [] }
[2017-01-28 01:56:50.533] [INFO] asan - { uv: 1, temp: 682, gas: 325, gps: [] }
[2017-01-28 01:56:53.536] [INFO] asan - { uv: 1, temp: 681, gas: 327, gps: [] }
[2017-01-28 01:56:56.538] [INFO] asan - { uv: 0, temp: 682, gas: 326, gps: [] }
[2017-01-28 01:56:59.539] [INFO] asan - { uv: 0, temp: 681, gas: 326, gps: [] }
[2017-01-28 01:57:02.541] [INFO] asan - { uv: 0, temp: 679, gas: 317, gps: [] }
[2017-01-28 01:57:05.543] [INFO] asan - { uv: 1, temp: 680, gas: 326, gps: [] }
[2017-01-28 01:57:08.548] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:11.554] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:14.559] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:17.562] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:20.567] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:23.573] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:26.578] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:29.582] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:32.585] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
